display_name,join_date,following_count,follower_count,post_count,scraped_at,profile_url,team
"Manchester City
@ManCity",Joined April 2008,46.6K Following,18M Followers,174K posts,2025-10-22 16:08:21.045752,https://x.com/ManCity,ManCity
"Manchester United
@ManUtd",Joined April 2012,135 Following,38.8M Followers,97K posts,2025-10-22 16:09:20.570527,https://x.com/ManUtd,ManUtd
"Arsenal
@Arsenal",Joined April 2009,78.3K Following,22.6M Followers,118.1K posts,2025-10-22 16:10:19.195047,https://x.com/Arsenal,Arsenal
"Chelsea FC
@ChelseaFC",Joined March 2009,265 Following,26.3M Followers,126.2K posts,2025-10-22 16:11:18.863206,https://x.com/ChelseaFC,ChelseaFC
"Liverpool FC
@LFC",Joined January 2009,335.3K Following,24.9M Followers,130.7K posts,2025-10-22 16:12:19.424287,https://x.com/LFC,LFC
